Timestamp,Open,High,Low,Close,Volume
2024-03-15 00:00:00,3.9379,3.9871,3.575,3.7763,307666.3
2024-03-15 04:00:00,3.7759,3.8123,3.6708,3.7628,230915.1
2024-03-15 08:00:00,3.7621,3.7621,3.4356,3.6355,365092.2
2024-03-15 12:00:00,3.6382,3.7038,3.6034,3.6526,117410.6
2024-03-15 16:00:00,3.6505,3.7737,3.6123,3.6765,140716.7
2024-03-15 20:00:00,3.679,3.7268,3.6003,3.7175,128215.5
2024-03-16 00:00:00,3.724,3.761,3.7107,3.7564,98322.5
2024-03-16 04:00:00,3.7541,3.7931,3.6826,3.7907,57464.7
2024-03-16 08:00:00,3.7853,3.818,3.712,3.7647,87817.8
2024-03-16 12:00:00,3.7647,3.7689,3.613,3.7083,165036.0
2024-03-16 16:00:00,3.7017,3.7056,3.4488,3.5106,345768.6
2024-03-16 20:00:00,3.5104,3.5775,3.4297,3.5179,165123.9
2024-03-17 00:00:00,3.5285,3.5873,3.4594,3.5832,113916.4
2024-03-17 04:00:00,3.5841,3.5874,3.3306,3.4471,129769.0
2024-03-17 08:00:00,3.4468,3.5597,3.4223,3.5385,66966.7
2024-03-17 12:00:00,3.5417,3.6054,3.4748,3.5934,170561.4
2024-03-17 16:00:00,3.5865,3.614,3.5612,3.607,83818.6
2024-03-17 20:00:00,3.6044,3.6301,3.5615,3.5864,20438.2
2024-03-18 00:00:00,3.5862,3.5862,3.4632,3.5476,67016.8
2024-03-18 04:00:00,3.5486,3.6509,3.5252,3.6001,73736.7
2024-03-18 08:00:00,3.5981,3.5983,3.5068,3.5631,380134.1
2024-03-18 12:00:00,3.562,3.5746,3.3439,3.3713,240272.1
2024-03-18 16:00:00,3.3675,3.3946,3.2654,3.3043,142784.6
2024-03-18 20:00:00,3.305,3.3873,3.3042,3.3463,54922.9
2024-03-19 00:00:00,3.3469,3.4124,3.1279,3.222,379648.0
2024-03-19 04:00:00,3.2302,3.2461,3.0095,3.1846,318248.2
2024-03-19 08:00:00,3.182,3.182,2.9757,3.1418,511183.1
2024-03-19 12:00:00,3.1418,3.241,3.0992,3.2282,297560.8
2024-03-19 16:00:00,3.2315,3.2857,3.2087,3.2638,161648.7
2024-03-19 20:00:00,3.2643,3.2686,3.0197,3.1121,148093.1
2024-03-20 00:00:00,3.1084,3.1981,3.0774,3.1058,312530.3
2024-03-20 04:00:00,3.112,3.2337,3.0,3.2278,168277.6
2024-03-20 08:00:00,3.2163,3.3049,3.2073,3.2784,67068.6
2024-03-20 12:00:00,3.2765,3.3063,3.1963,3.2137,114648.6
2024-03-20 16:00:00,3.2078,3.3424,3.0774,3.3259,277411.8
2024-03-20 20:00:00,3.3276,3.4035,3.3206,3.3709,47822.5
2024-03-21 00:00:00,3.3683,3.4291,3.3472,3.383,25049.9
2024-03-21 04:00:00,3.3748,3.3871,3.2841,3.3558,71155.3
2024-03-21 08:00:00,3.3566,3.4149,3.3542,3.3801,39636.4
2024-03-21 12:00:00,3.378,3.4223,3.3611,3.4029,65114.8
2024-03-21 16:00:00,3.4041,3.4537,3.3183,3.3885,90266.1
2024-03-21 20:00:00,3.3839,3.4409,3.3521,3.406,89519.6
2024-03-22 00:00:00,3.4025,3.4132,3.3052,3.3746,63926.7
2024-03-22 04:00:00,3.3789,3.4084,3.3521,3.3739,22983.7
2024-03-22 08:00:00,3.3721,3.3829,3.2631,3.2677,49436.1
2024-03-22 12:00:00,3.2656,3.3099,3.1849,3.2782,126251.6
2024-03-22 16:00:00,3.2741,3.2932,3.2329,3.2816,84864.3
2024-03-22 20:00:00,3.2766,3.3006,3.2153,3.2986,28088.2
2024-03-23 00:00:00,3.289,3.3179,3.2283,3.2621,295567.4
2024-03-23 04:00:00,3.2616,3.3254,3.2579,3.3151,91545.7
2024-03-23 08:00:00,3.312,3.3279,3.2904,3.3146,51113.3
2024-03-23 12:00:00,3.3131,3.3703,3.3095,3.3401,34291.1
2024-03-23 16:00:00,3.3399,3.362,3.3246,3.331,33673.3
2024-03-23 20:00:00,3.3314,3.3392,3.2827,3.2827,24024.3
2024-03-24 00:00:00,3.278,3.3301,3.2774,3.2931,25595.9
2024-03-24 04:00:00,3.2944,3.3857,3.2807,3.3439,26422.2
2024-03-24 08:00:00,3.3474,3.4138,3.3459,3.3942,69895.2
2024-03-24 12:00:00,3.3885,3.4061,3.3614,3.3804,13211.4
2024-03-24 16:00:00,3.3801,3.3909,3.3207,3.3817,43913.4
2024-03-24 20:00:00,3.3799,3.4377,3.3747,3.4218,41692.2
2024-03-25 00:00:00,3.4212,3.4427,3.3876,3.4302,43314.6
2024-03-25 04:00:00,3.4292,3.4533,3.3755,3.3816,8307.3
2024-03-25 08:00:00,3.3811,3.4247,3.3577,3.3627,49806.0
2024-03-25 12:00:00,3.3626,3.5086,3.3608,3.4871,69739.0
2024-03-25 16:00:00,3.482,3.5661,3.4675,3.5649,51172.7
2024-03-25 20:00:00,3.5649,3.5726,3.5147,3.5321,59500.1
2024-03-26 00:00:00,3.5312,3.6333,3.5236,3.6333,45634.5
2024-03-26 04:00:00,3.6329,3.6848,3.617,3.6372,58372.7
2024-03-26 08:00:00,3.6382,3.7,3.6219,3.6719,50322.2
2024-03-26 12:00:00,3.6701,3.7089,3.5603,3.6752,240532.0
2024-03-26 16:00:00,3.6736,3.7013,3.5941,3.6242,195698.3
2024-03-26 20:00:00,3.6306,3.6771,3.614,3.6487,157550.3
2024-03-27 00:00:00,3.6474,3.6969,3.6161,3.6189,88158.2
2024-03-27 04:00:00,3.6194,3.6352,3.5163,3.5312,82546.7
2024-03-27 08:00:00,3.5328,3.5638,3.4691,3.5618,57493.2
2024-03-27 12:00:00,3.5648,3.605,3.4258,3.4496,199817.6
2024-03-27 16:00:00,3.4422,3.4797,3.4128,3.4466,121387.6
2024-03-27 20:00:00,3.45,3.4793,3.4315,3.4424,45839.5
2024-03-28 00:00:00,3.4458,3.4644,3.3775,3.4025,68662.7
2024-03-28 04:00:00,3.4015,3.5097,3.3992,3.5048,6569.1
2024-03-28 08:00:00,3.5008,3.5054,3.4392,3.4682,277314.4
2024-03-28 12:00:00,3.4611,3.4765,3.4,3.4514,47731.1
2024-03-28 16:00:00,3.4494,3.4774,3.4308,3.4746,35285.8
2024-03-28 20:00:00,3.4739,3.4943,3.4505,3.4881,35793.7
2024-03-29 00:00:00,3.4871,3.5683,3.4802,3.5274,110770.2
2024-03-29 04:00:00,3.5309,3.545,3.3993,3.4117,65347.4
2024-03-29 08:00:00,3.4148,3.5275,3.4076,3.5088,75616.6
2024-03-29 12:00:00,3.5086,3.5418,3.4537,3.5055,149210.8
2024-03-29 16:00:00,3.5052,3.5342,3.4548,3.4748,48156.4
2024-03-29 20:00:00,3.4734,3.4745,3.4119,3.4481,65455.1
2024-03-30 00:00:00,3.4478,3.4606,3.4194,3.4385,64519.4
2024-03-30 04:00:00,3.44,3.4823,3.4314,3.4314,17413.3
2024-03-30 08:00:00,3.4303,3.4721,3.4084,3.4721,36422.4
2024-03-30 12:00:00,3.4734,3.4734,3.4276,3.4366,61238.5
2024-03-30 16:00:00,3.4366,3.4539,3.4067,3.4465,31016.4
2024-03-30 20:00:00,3.444,3.4466,3.3566,3.3878,56635.2
2024-03-31 00:00:00,3.3836,3.4305,3.3724,3.4004,40924.4
2024-03-31 04:00:00,3.3992,3.4515,3.3917,3.4443,74074.2
2024-03-31 08:00:00,3.4447,3.4553,3.4122,3.4261,57187.1
2024-03-31 12:00:00,3.4299,3.4319,3.4052,3.4176,20744.4
2024-03-31 16:00:00,3.4174,3.4346,3.4062,3.4346,46211.0
2024-03-31 20:00:00,3.4364,3.443,3.4128,3.4356,62272.7
2024-04-01 00:00:00,3.4335,3.4503,3.3878,3.3994,26089.5
2024-04-01 04:00:00,3.3997,3.4089,3.1994,3.3004,142209.1
2024-04-01 08:00:00,3.3001,3.3001,3.2496,3.259,95792.8
2024-04-01 12:00:00,3.251,3.3103,3.1791,3.2083,217936.0
2024-04-01 16:00:00,3.2016,3.2384,3.1544,3.221,131224.4
2024-04-01 20:00:00,3.2183,3.2745,3.2124,3.2642,92687.0
2024-04-02 00:00:00,3.2617,3.2826,3.0692,3.1368,138221.8
2024-04-02 04:00:00,3.1369,3.1736,3.0856,3.1402,41569.9
2024-04-02 08:00:00,3.1373,3.1455,3.0184,3.0681,105713.4
2024-04-02 12:00:00,3.0684,3.1013,3.0087,3.0345,63606.9
2024-04-02 16:00:00,3.0344,3.0833,3.0209,3.0726,64050.0
2024-04-02 20:00:00,3.066,3.107,3.0513,3.0731,106018.0
2024-04-03 00:00:00,3.0742,3.1113,2.9576,3.1038,118440.6
2024-04-03 04:00:00,3.1042,3.1281,3.0809,3.1161,48430.2
2024-04-03 08:00:00,3.1096,3.1534,3.0915,3.0969,64486.4
2024-04-03 12:00:00,3.0971,3.1153,3.049,3.0646,73945.5
2024-04-03 16:00:00,3.063,3.0917,3.0077,3.0351,94417.1
2024-04-03 20:00:00,3.0335,3.0598,2.9798,3.0421,52562.8
2024-04-04 00:00:00,3.0418,3.0611,2.975,2.999,22411.6
2024-04-04 04:00:00,3.0,3.0468,2.97,3.0461,68070.6
2024-04-04 08:00:00,3.0471,3.0875,3.0431,3.0759,183366.0
2024-04-04 12:00:00,3.0759,3.1181,3.0722,3.0784,91794.1
2024-04-04 16:00:00,3.0775,3.1006,3.0363,3.0387,114658.5
2024-04-04 20:00:00,3.0403,3.0404,2.9357,2.9811,205182.0
2024-04-05 00:00:00,2.98,2.9946,2.8731,2.9275,48393.9
2024-04-05 04:00:00,2.9262,2.9262,2.8502,2.899,33407.2
2024-04-05 08:00:00,2.8986,2.9266,2.8155,2.8155,128289.3
2024-04-05 12:00:00,2.8201,2.9037,2.7976,2.9037,245146.4
2024-04-05 16:00:00,2.9043,2.9314,2.8835,2.9149,62656.2
2024-04-05 20:00:00,2.9165,2.9451,2.9136,2.9351,24532.3
2024-04-06 00:00:00,2.9347,2.9609,2.9163,2.9515,33706.5
2024-04-06 04:00:00,2.9555,2.9661,2.9385,2.9388,47414.3
2024-04-06 08:00:00,2.9399,2.9682,2.9321,2.9544,97501.2
2024-04-06 12:00:00,2.9537,2.9725,2.9294,2.9555,71671.9
2024-04-06 16:00:00,2.9564,2.966,2.9378,2.9451,90844.3
2024-04-06 20:00:00,2.9447,2.9812,2.9389,2.959,75224.8
2024-04-07 00:00:00,2.9562,3.0143,2.9536,3.0055,39691.9
2024-04-07 04:00:00,3.0055,3.0259,2.99,2.9978,38388.6
2024-04-07 08:00:00,2.9984,3.0364,2.9938,3.0285,246584.8
2024-04-07 12:00:00,3.0286,3.1095,3.024,3.0524,85379.5
2024-04-07 16:00:00,3.0524,3.0654,3.0208,3.0327,57581.1
2024-04-07 20:00:00,3.0343,3.0939,3.0343,3.0879,66036.8
2024-04-08 00:00:00,3.0869,3.0947,3.0348,3.0629,55339.1
2024-04-08 04:00:00,3.0639,3.0923,3.055,3.0817,78314.4
2024-04-08 08:00:00,3.0842,3.1553,2.99,3.1375,433624.8
2024-04-08 12:00:00,3.1375,3.19,3.1139,3.1842,327962.9
2024-04-08 16:00:00,3.1836,3.2416,3.181,3.1947,209808.4
2024-04-08 20:00:00,3.1987,3.2185,3.189,3.1977,134892.9
2024-04-09 00:00:00,3.1977,3.2187,3.1525,3.1611,170901.1
2024-04-09 04:00:00,3.1618,3.1869,3.0933,3.1086,93878.9
2024-04-09 08:00:00,3.1079,3.1433,3.0652,3.137,413645.7
2024-04-09 12:00:00,3.1371,3.1664,3.0487,3.1088,349742.2
2024-04-09 16:00:00,3.109,3.1367,3.078,3.0982,150557.8
2024-04-09 20:00:00,3.0953,3.1056,3.04,3.0577,135005.7
2024-04-10 00:00:00,3.0546,3.0755,2.982,3.0435,121535.0
2024-04-10 04:00:00,3.0449,3.0744,3.0343,3.0633,246009.8
2024-04-10 08:00:00,3.0633,3.0718,3.0066,3.0266,213004.3
2024-04-10 12:00:00,3.0257,3.0286,2.9146,3.0095,137633.0
2024-04-10 16:00:00,3.0095,3.0641,2.9928,3.034,332770.4
2024-04-10 20:00:00,3.0373,3.0698,3.0155,3.0444,106681.2
2024-04-11 00:00:00,3.0407,3.0407,2.9787,3.0121,85677.3
2024-04-11 04:00:00,3.0148,3.0496,2.9935,3.036,17637.4
2024-04-11 08:00:00,3.0386,3.0592,2.9788,2.9869,74097.4
2024-04-11 12:00:00,2.986,3.029,2.9614,2.9772,124022.6
2024-04-11 16:00:00,2.9742,2.9887,2.9367,2.9702,81951.0
2024-04-11 20:00:00,2.9706,2.9948,2.9697,2.9848,29622.3
2024-04-12 00:00:00,2.9833,3.0168,2.9777,3.0035,43694.4
2024-04-12 04:00:00,3.0039,3.0104,2.9543,2.9617,71756.7
2024-04-12 08:00:00,2.9599,2.9672,2.9303,2.9542,337566.0
2024-04-12 12:00:00,2.9508,2.9555,2.8478,2.8592,336133.9
2024-04-12 16:00:00,2.8592,2.8608,2.0175,2.2617,1838553.9
2024-04-12 20:00:00,2.2625,2.3394,2.262,2.3138,207109.8
2024-04-13 00:00:00,2.3123,2.3123,2.205,2.2893,278173.7
2024-04-13 04:00:00,2.2908,2.3568,2.2878,2.3422,256694.2
2024-04-13 08:00:00,2.3416,2.3829,2.3111,2.3526,275132.4
2024-04-13 12:00:00,2.3522,2.3877,2.3044,2.3064,340517.0
2024-04-13 16:00:00,2.3024,2.3169,1.888,1.9828,1068853.5
2024-04-13 20:00:00,1.9786,2.0045,1.5937,1.9713,2339260.7
2024-04-14 00:00:00,1.9733,1.9856,1.9032,1.97,363120.7
2024-04-14 04:00:00,1.9719,2.103,1.9499,2.1013,231295.4
2024-04-14 08:00:00,2.1001,2.1106,2.0164,2.0301,216643.4
2024-04-14 12:00:00,2.029,2.0745,2.005,2.0527,215289.2
2024-04-14 16:00:00,2.0424,2.1018,1.9797,2.0739,254574.0
2024-04-14 20:00:00,2.0693,2.1938,2.0416,2.1709,319219.2
2024-04-15 00:00:00,2.1689,2.1689,2.0995,2.1374,99918.6
2024-04-15 04:00:00,2.1392,2.307,2.1142,2.2666,81839.9
2024-04-15 08:00:00,2.264,2.2859,2.2269,2.2269,168203.1
2024-04-15 12:00:00,2.2296,2.2466,2.111,2.1492,306018.1
2024-04-15 16:00:00,2.1502,2.1642,1.9893,2.082,340609.9
2024-04-15 20:00:00,2.0773,2.1016,2.0265,2.083,44548.8
2024-04-16 00:00:00,2.0831,2.106,2.0379,2.0537,142192.7
2024-04-16 04:00:00,2.0551,2.144,1.9928,2.13,111132.4
2024-04-16 08:00:00,2.1294,2.1589,2.051,2.1444,347510.0
2024-04-16 12:00:00,2.1431,2.1431,2.0735,2.0822,140334.1
