Timestamp,Open,High,Low,Close,Volume
2024-04-01,4.6313,4.648,4.1947,4.2897,147806.4
2024-04-02,4.2857,4.2911,3.9122,3.9227,108300.9
2024-04-03,3.9211,4.061,3.8011,3.9706,144059.2
2024-04-04,3.9671,4.1273,3.9035,4.0116,124699.6
2024-04-05,4.0119,4.0385,3.7723,3.8398,153310.7
2024-04-06,3.8377,3.9822,3.8167,3.9212,155518.7
2024-04-07,3.922,3.9824,3.8689,3.9259,151659.3
2024-04-08,3.9273,4.0774,3.8654,4.0419,496496.7
2024-04-09,4.0389,4.0681,3.8071,3.8529,1001902.0
2024-04-10,3.8506,3.9176,3.6891,3.8575,477110.9
2024-04-11,3.8586,3.8592,3.6723,3.7237,493888.2
2024-04-12,3.7208,3.8251,3.585,3.6411,228736.7
