Coin,Timeframe,Trades,Sharp Ratio,Return,Max. Drawdown
BOME/USDC:USDC,30m,45,0.4404016681616496,479.5586348503204,-24.09018828314091
BOME/USDC:USDC,1h,51,0.38441210452977226,1501.5791741193598,-18.848643213482184
BOME/USDC:USDC,4h,5,0.3766605061073894,78.31878913495999,-21.113509747745297
BSV/USDC:USDC,30m,67,1.0554263238181756,206.3184011199999,-8.666308467276462
BSV/USDC:USDC,1h,19,1.191149189446966,172.87063656,-8.372185829290867
BSV/USDC:USDC,4h,13,1.3689536118437955,139.84392831999997,-6.192583027826359
BTC/USDC:USDC,30m,0,nan,0.0,-0.0
BTC/USDC:USDC,1h,0,nan,0.0,-0.0
BTC/USDC:USDC,4h,0,nan,0.0,-0.0
CAKE/USDC:USDC,30m,65,0.7103882923633391,136.7189961599999,-17.358867167774548
CAKE/USDC:USDC,1h,37,1.3620637234930384,146.06257800800006,-8.267247850999293
CAKE/USDC:USDC,4h,1,1.6368876660274023,39.29269020000001,-4.971708727059498
CANTO/USDC:USDC,30m,0,nan,0.0,-0.0
CANTO/USDC:USDC,1h,108,0.32940777747867483,22.604474326399924,-41.808888346702425
CANTO/USDC:USDC,4h,7,1.13946217879821,229.16517205999995,-11.14443391811789
CFX/USDC:USDC,30m,47,0.8324918074557183,345.2175627367998,-12.880011921929436
CFX/USDC:USDC,1h,122,0.7082485565811435,192.33325958239973,-28.72782576460038
CFX/USDC:USDC,4h,6,1.0068709047096072,52.59736265359999,-9.876265164321829
COMP/USDC:USDC,30m,109,1.110672311371257,201.37625887999988,-8.64274807827895
COMP/USDC:USDC,1h,19,1.3634435121798276,105.05528664000016,-9.621324201447957
COMP/USDC:USDC,4h,3,1.4554922785975022,35.79003288000002,-6.433273920426929
CRV/USDC:USDC,30m,117,0.8773052117889413,126.97512159200011,-10.93654251481253
CRV/USDC:USDC,1h,62,1.4004098727108285,155.9561152672001,-12.085206027351303
CRV/USDC:USDC,4h,5,1.1976003028831534,50.41015703439996,-4.330406382721863
CYBER/USDC:USDC,30m,75,0.9149785212462411,377.81931588,-9.921769284183613
CYBER/USDC:USDC,1h,54,0.8072227754183101,666.3791728400004,-9.859936918112854
CYBER/USDC:USDC,4h,3,0.8739408960809031,40.24661239999999,-8.725330143406683
DOGE/USDC:USDC,30m,41,1.0014802374983802,217.82158116799982,-13.443083440733517
DOGE/USDC:USDC,1h,89,1.0804916168046166,894.8889754263995,-7.636803733625664
DOGE/USDC:USDC,4h,7,1.4440782642845427,52.927785216799975,-6.968469708302971
DOT/USDC:USDC,30m,107,1.149747276883057,126.06919569600021,-8.003246778079342
DOT/USDC:USDC,1h,53,1.2359811280072712,112.42566097599993,-8.818586080506929
DOT/USDC:USDC,4h,5,1.6297802731894542,51.976281128000025,-3.583259843627651
DYDX/USDC:USDC,30m,151,1.0545557074179726,225.28956390399998,-11.951828679160116
DYDX/USDC:USDC,1h,57,1.345274796989028,149.4460280400001,-10.819302398625364
DYDX/USDC:USDC,4h,9,1.1624593748514098,120.81592001599999,-3.7914819313962345
DYM/USDC:USDC,30m,49,1.1784868535586828,205.4083738639998,-16.27945149126647
DYM/USDC:USDC,1h,35,1.3665257523402912,311.11498811999996,-17.167342468045497
DYM/USDC:USDC,4h,3,1.4153756133940578,42.43215516,-9.054991767840725
ENA/USDC:USDC,30m,31,1.067484621082725,485.2369723776004,-18.940825976563925
ENA/USDC:USDC,1h,23,0.7573824716760832,282.23732054400006,-9.445059960844848
ENA/USDC:USDC,4h,1,0.6887810675279635,27.427066960000012,-9.650196757368123
ENS/USDC:USDC,30m,141,0.8182024228681114,376.1658107199999,-13.221858494980154
