Timestamp,Open,High,Low,Close,Volume
2024-03-15 00:00:00,24.779,24.948,24.703,24.893,675.75
2024-03-15 00:30:00,24.939,25.051,24.739,24.783,1167.11
2024-03-15 01:00:00,24.76,24.779,24.617,24.658,3398.15
2024-03-15 01:30:00,24.632,24.797,24.57,24.626,2115.43
2024-03-15 02:00:00,24.614,24.632,24.244,24.244,2978.25
2024-03-15 02:30:00,24.231,24.231,23.27,23.72,12820.43
2024-03-15 03:00:00,23.671,23.891,22.159,22.814,15216.56
2024-03-15 03:30:00,22.89,23.502,22.89,23.321,9148.67
2024-03-15 04:00:00,23.459,23.55,23.009,23.27,5644.77
2024-03-15 04:30:00,23.303,23.303,22.888,22.949,6545.82
2024-03-15 05:00:00,22.894,23.314,22.888,23.214,442.7
2024-03-15 05:30:00,23.384,23.384,22.774,22.927,4151.97
2024-03-15 06:00:00,22.854,23.187,22.854,23.187,1982.11
2024-03-15 06:30:00,23.192,23.341,23.155,23.341,28.86
2024-03-15 07:00:00,23.337,23.369,23.22,23.264,1154.27
2024-03-15 07:30:00,23.281,23.447,23.212,23.266,2612.31
2024-03-15 08:00:00,23.263,23.263,22.742,22.742,7976.8
2024-03-15 08:30:00,22.762,22.883,22.012,22.012,7814.03
2024-03-15 09:00:00,22.044,22.237,21.162,21.876,17717.75
2024-03-15 09:30:00,21.961,22.402,21.809,22.337,1265.81
2024-03-15 10:00:00,22.421,22.51,22.223,22.484,839.13
2024-03-15 10:30:00,22.512,22.539,22.187,22.214,1870.05
2024-03-15 11:00:00,22.242,22.307,21.767,21.767,306.69
2024-03-15 11:30:00,21.865,22.372,21.865,22.281,1963.24
2024-03-15 12:00:00,22.26,22.497,22.216,22.351,498.72
2024-03-15 12:30:00,22.42,22.524,22.252,22.333,1320.52
2024-03-15 13:00:00,22.31,22.541,22.189,22.275,3221.46
2024-03-15 13:30:00,22.188,22.807,22.176,22.734,806.61
2024-03-15 14:00:00,22.718,22.795,22.399,22.533,6858.85
2024-03-15 14:30:00,22.504,22.679,22.37,22.679,1931.29
2024-03-15 15:00:00,22.687,22.687,22.459,22.569,1492.62
2024-03-15 15:30:00,22.567,22.588,22.39,22.408,1242.73
2024-03-15 16:00:00,22.395,22.441,22.181,22.422,12482.18
2024-03-15 16:30:00,22.4,22.551,22.302,22.423,1840.5
2024-03-15 17:00:00,22.405,22.463,22.259,22.459,5652.84
2024-03-15 17:30:00,22.47,22.571,22.394,22.494,58.12
2024-03-15 18:00:00,22.56,22.754,22.56,22.627,821.57
2024-03-15 18:30:00,22.648,23.193,22.647,23.154,447.52
2024-03-15 19:00:00,23.178,23.211,22.902,22.962,3354.71
2024-03-15 19:30:00,22.966,22.968,22.509,22.521,5324.97
2024-03-15 20:00:00,22.603,22.603,22.19,22.444,10582.1
2024-03-15 20:30:00,22.434,22.434,22.067,22.197,6670.65
2024-03-15 21:00:00,22.226,22.551,22.223,22.442,925.92
2024-03-15 21:30:00,22.397,22.625,22.397,22.623,88.29
2024-03-15 22:00:00,22.612,22.825,22.526,22.755,358.11
2024-03-15 22:30:00,22.719,23.056,22.695,23.021,839.0
2024-03-15 23:00:00,22.987,23.026,22.902,22.999,669.13
2024-03-15 23:30:00,22.991,23.101,22.953,22.995,2097.85
2024-03-16 00:00:00,22.998,23.176,22.946,23.143,2418.28
2024-03-16 00:30:00,23.135,23.208,23.029,23.065,1784.37
2024-03-16 01:00:00,23.062,23.222,23.039,23.097,2742.44
2024-03-16 01:30:00,23.158,23.274,23.106,23.14,1216.49
2024-03-16 02:00:00,23.146,23.233,23.07,23.138,3651.7
2024-03-16 02:30:00,23.146,23.205,23.107,23.118,1114.79
2024-03-16 03:00:00,23.125,23.287,23.017,23.163,643.06
2024-03-16 03:30:00,23.169,23.207,23.071,23.206,1099.6
2024-03-16 04:00:00,23.141,23.221,23.078,23.163,386.05
2024-03-16 04:30:00,23.159,23.187,22.956,23.047,1554.79
2024-03-16 05:00:00,23.045,23.045,22.548,22.548,2969.95
2024-03-16 05:30:00,22.547,23.053,22.547,22.976,701.15
2024-03-16 06:00:00,22.986,23.233,22.986,23.198,70.45
2024-03-16 06:30:00,23.187,23.204,22.937,23.156,827.22
2024-03-16 07:00:00,23.156,23.259,23.086,23.152,295.86
2024-03-16 07:30:00,23.155,23.515,23.122,23.45,37.53
2024-03-16 08:00:00,23.445,23.489,23.323,23.413,2048.72
2024-03-16 08:30:00,23.389,23.66,23.389,23.46,941.0
2024-03-16 09:00:00,23.445,23.567,23.362,23.486,1877.74
2024-03-16 09:30:00,23.478,23.585,23.356,23.361,2192.79
2024-03-16 10:00:00,23.36,23.436,23.301,23.32,3234.32
2024-03-16 10:30:00,23.276,23.452,23.141,23.308,2576.14
2024-03-16 11:00:00,23.316,23.381,22.871,22.907,7689.51
2024-03-16 11:30:00,22.914,23.12,22.791,22.961,2591.68
2024-03-16 12:00:00,22.995,22.999,22.749,22.863,2619.64
2024-03-16 12:30:00,22.855,22.855,22.529,22.529,8813.23
2024-03-16 13:00:00,22.543,22.722,22.494,22.613,3637.19
2024-03-16 13:30:00,22.591,22.687,22.151,22.151,4251.02
2024-03-16 14:00:00,22.16,22.511,22.097,22.366,3314.86
2024-03-16 14:30:00,22.399,22.529,22.289,22.474,1791.55
2024-03-16 15:00:00,22.419,22.484,22.262,22.422,621.7
